Initial,Values,,,,,,,,,,,,,,
Type,Sphere,,,,,,,,,,,,,,
Radius:,,0.5,,Mass:,1,,Density:,1.90986,,,,,,,
Position XYZ,,0,10,0,,,,,,,,,,,
Velocity XYZ,,0,0,0,,,,,,,,,,,
Rotation XYZ,,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,
Fluid:,,C1,0,C2,0,,Density,0,,,,,,,
Wind XYZ,,,0,0,0,,,,,,,,,,
Gravity XYZ,,,0,-9.81,0,,,,,,,,,,
Ground:,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Start,Simulation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Time,52/60,sec,,PosX,0,PosY,6.3158,PosZ,0,VelX,0,VelY,-8.502,VelZ,0
Time,53/60,sec,,PosX,0,PosY,6.17274,PosZ,0,VelX,0,VelY,-8.6655,VelZ,0
Time,54/60,sec,,PosX,0,PosY,6.02695,PosZ,0,VelX,0,VelY,-8.829,VelZ,0
Time,55/60,sec,,PosX,0,PosY,5.87844,PosZ,0,VelX,0,VelY,-8.9925,VelZ,0
Time,56/60,sec,,PosX,0,PosY,5.7272,PosZ,0,VelX,0,VelY,-9.156,VelZ,0
Time,57/60,sec,,PosX,0,PosY,5.57324,PosZ,0,VelX,0,VelY,-9.3195,VelZ,0
Time,58/60,sec,,PosX,0,PosY,5.41655,PosZ,0,VelX,0,VelY,-9.483,VelZ,0
Time,59/60,sec,,PosX,0,PosY,5.25714,PosZ,0,VelX,0,VelY,-9.6465,VelZ,0
Time,60/60,sec,,PosX,0,PosY,5.095,PosZ,0,VelX,0,VelY,-9.81,VelZ,0
Time,61/60,sec,,PosX,0,PosY,4.93014,PosZ,0,VelX,0,VelY,-9.9735,VelZ,0
Time,62/60,sec,,PosX,0,PosY,4.76255,PosZ,0,VelX,0,VelY,-10.137,VelZ,0
Time,63/60,sec,,PosX,0,PosY,4.59224,PosZ,0,VelX,0,VelY,-10.3005,VelZ,0
Time,64/60,sec,,PosX,0,PosY,4.4192,PosZ,0,VelX,0,VelY,-10.464,VelZ,0
Time,65/60,sec,,PosX,0,PosY,4.24344,PosZ,0,VelX,0,VelY,-10.6275,VelZ,0
Time,66/60,sec,,PosX,0,PosY,4.06495,PosZ,0,VelX,0,VelY,-10.791,VelZ,0
Time,67/60,sec,,PosX,0,PosY,3.88374,PosZ,0,VelX,0,VelY,-10.9545,VelZ,0
