Initial,Values,,,,,,,,,,,,,,
Type,Sphere,,,,,,,,,,,,,,
Radius:,,0.5,,Mass:,1,,Density:,1.90986,,,,,,,
PositionXYZ,,2,10,2,,,,,,,,,,,
VelocityXYZ,,1,0,0,,,,,,,,,,,
RotationXYZ,,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,
Fluid,C1,1.2,C2,1.6,Density,8,,,,,,,,,
Wind,XYZ,2,0,2,,,,,,,,,,,
Gravity XYZ:,,0,-9.81,0,,,,,,,,,,,
Ground:,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Start,Simulation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Time,1/60,sec,,PosX,2.03292,PosY,9.93267,PosZ,2.03251,VelX,1.0385,VelY,-0.160346,VelZ,0.0769996
Time,2/60,sec,,PosX,2.06547,PosY,9.86519,PosZ,2.06427,VelX,1.07464,VelY,-0.314739,VelZ,0.149272
Time,3/60,sec,,PosX,2.09775,PosY,9.79747,PosZ,2.0955,VelX,1.10876,VelY,-0.463606,VelZ,0.217526
Time,4/60,sec,,PosX,2.12987,PosY,9.72947,PosZ,2.12641,VelX,1.14118,VelY,-0.607257,VelZ,0.282361
Time,5/60,sec,,PosX,2.1619,PosY,9.66117,PosZ,2.15714,VelX,1.17214,VelY,-0.745902,VelZ,0.344286
Time,6/60,sec,,PosX,2.19392,PosY,9.5926,PosZ,2.18783,VelX,1.20186,VelY,-0.879675,VelZ,0.403721
Time,7/60,sec,,PosX,2.22597,PosY,9.5238,PosZ,2.2186,VelX,1.23051,VelY,-1.00865,VelZ,0.461012
Time,8/60,sec,,PosX,2.25809,PosY,9.45484,PosZ,2.24952,VelX,1.25822,VelY,-1.13286,VelZ,0.516436
Time,9/60,sec,,PosX,2.29033,PosY,9.3858,PosZ,2.28067,VelX,1.28511,VelY,-1.25231,VelZ,0.570211
Time,10/60,sec,,PosX,2.3227,PosY,9.31674,PosZ,2.31208,VelX,1.31125,VelY,-1.367,VelZ,0.622505
Time,11/60,sec,,PosX,2.35523,PosY,9.24777,PosZ,2.34378,VelX,1.33672,VelY,-1.4769,VelZ,0.673439
Time,12/60,sec,,PosX,2.3879,PosY,9.17896,PosZ,2.3758,VelX,1.36155,VelY,-1.58202,VelZ,0.723102
Time,13/60,sec,,PosX,2.42074,PosY,9.11038,PosZ,2.40814,VelX,1.38578,VelY,-1.68237,VelZ,0.771552
Time,14/60,sec,,PosX,2.45373,PosY,9.04213,PosZ,2.44079,VelX,1.40941,VelY,-1.77795,VelZ,0.818825
Time,15/60,sec,,PosX,2.48688,PosY,8.97424,PosZ,2.47375,VelX,1.43247,VelY,-1.86882,VelZ,0.864939
Time,16/60,sec,,PosX,2.52017,PosY,8.90679,PosZ,2.507,VelX,1.45495,VelY,-1.95502,VelZ,0.909902
Time,17/60,sec,,PosX,2.55359,PosY,8.83983,PosZ,2.54051,VelX,1.47685,VelY,-2.03664,VelZ,0.953709
Time,18/60,sec,,PosX,2.58714,PosY,8.77338,PosZ,2.57427,VelX,1.49818,VelY,-2.11377,VelZ,0.996355
Time,19/60,sec,,PosX,2.6208,PosY,8.70748,PosZ,2.60826,VelX,1.51891,VelY,-2.18651,VelZ,1.03783
Time,20/60,sec,,PosX,2.65455,PosY,8.64216,PosZ,2.64244,VelX,1.53906,VelY,-2.255,VelZ,1.07812
Time,21/60,sec,,PosX,2.6884,PosY,8.57742,PosZ,2.6768,VelX,1.55861,VelY,-2.31936,VelZ,1.11721
Time,22/60,sec,,PosX,2.72232,PosY,8.51328,PosZ,2.71131,VelX,1.57755,VelY,-2.37976,VelZ,1.15511
